,Televisor_analogico,Televisor_con_decodificador,Televisor_digital,Telefono_celular,Computadora_escritorio,Laptop,Internet,Estrato_socioeconomico,Tipo_de_entorno
441,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
442,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
443,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
444,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
445,No,No,Si,No,No,No,Si,Medio alto,Urbano
446,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
447,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
448,No,No,Si,Si,Si,No,Si,Medio alto,Urbano
449,Si,Si,Si,Si,No,No,Si,Medio alto,Urbano
450,Si,No,Si,Si,No,Si,Si,Medio alto,Urbano
451,Si,No,No,Si,Si,Si,Si,Medio alto,Urbano
452,Si,Si,No,Si,No,No,Si,Medio alto,Urbano
453,Si,No,Si,Si,Si,No,Si,Medio alto,Urbano
454,No,No,Si,Si,No,Si,Si,Medio alto,Urbano
455,No,No,Si,Si,No,No,No,Medio alto,Urbano
